date,description,holiday_type,closed_exchanges,open_exchanges
2025-01-04,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-01-05,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-01-11,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-01-12,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-01-18,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-01-19,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-01-25,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-01-26,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-02-01,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-02-01,Budget Day Session,TRADING_HOLIDAY,"['CDS', 'BCD']","[{'exchange': 'NSE', 'start_time': 1738381500000, 'end_time': 1738404000000}, {'exchange': 'NFO', 'start_time': 1738381500000, 'end_time': 1738404000000}, {'exchange': 'BSE', 'start_time': 1738381500000, 'end_time': 1738404000000}, {'exchange': 'BFO', 'start_time': 1738381500000, 'end_time': 1738404000000}, {'exchange': 'MCX', 'start_time': 1738380600000, 'end_time': 1738409400000}, {'exchange': 'NSCOM', 'start_time': 1738380600000, 'end_time': 1738409400000}]"
2025-02-02,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-02-08,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-02-09,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-02-15,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-02-16,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-02-19,Chhatrapati Shivaji Maharaj Jayanti,SETTLEMENT_HOLIDAY,"['CDS', 'BCD']","[{'exchange': 'NSE', 'start_time': 1739936700000, 'end_time': 1739959200000}, {'exchange': 'NFO', 'start_time': 1739936700000, 'end_time': 1739959200000}, {'exchange': 'BSE', 'start_time': 1739936700000, 'end_time': 1739959200000}, {'exchange': 'BFO', 'start_time': 1739936700000, 'end_time': 1739959200000}, {'exchange': 'MCX', 'start_time': 1739935800000, 'end_time': 1739989500000}, {'exchange': 'NSCOM', 'start_time': 1739935800000, 'end_time': 1739989500000}]"
2025-02-22,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-02-23,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-02-26,Mahashivratri,TRADING_HOLIDAY,"['NSE', 'NFO', 'CDS', 'BSE', 'BFO', 'BCD']","[{'exchange': 'MCX', 'start_time': 1740569400000, 'end_time': 1740594300000}, {'exchange': 'NSCOM', 'start_time': 1740569400000, 'end_time': 1740594300000}]"
2025-03-01,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-03-02,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-03-08,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-03-09,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-03-14,Holi,TRADING_HOLIDAY,"['NSE', 'NFO', 'CDS', 'BSE', 'BFO', 'BCD']","[{'exchange': 'MCX', 'start_time': 1741951800000, 'end_time': 1741975200000}, {'exchange': 'NSCOM', 'start_time': 1741951800000, 'end_time': 1741975200000}]"
2025-03-15,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-03-16,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-03-22,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-03-23,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-03-29,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-03-30,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-03-31,Id-Ul-Fitr (Ramadan Eid),TRADING_HOLIDAY,"['NSE', 'NFO', 'CDS', 'BSE', 'BFO', 'BCD']","[{'exchange': 'MCX', 'start_time': 1743420600000, 'end_time': 1743444000000}, {'exchange': 'NSCOM', 'start_time': 1743420600000, 'end_time': 1743444000000}]"
2025-04-01,Annual Bank Closing,SETTLEMENT_HOLIDAY,"['CDS', 'BCD']","[{'exchange': 'NSE', 'start_time': 1743479100000, 'end_time': 1743501600000}, {'exchange': 'NFO', 'start_time': 1743479100000, 'end_time': 1743501600000}, {'exchange': 'BSE', 'start_time': 1743479100000, 'end_time': 1743501600000}, {'exchange': 'BFO', 'start_time': 1743479100000, 'end_time': 1743501600000}, {'exchange': 'MCX', 'start_time': 1743478200000, 'end_time': 1743530400000}, {'exchange': 'NSCOM', 'start_time': 1743478200000, 'end_time': 1743530400000}]"
2025-04-05,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-04-06,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-04-10,Shri Mahavir Jayanti,TRADING_HOLIDAY,"['NSE', 'NFO', 'CDS', 'BSE', 'BFO', 'BCD']","[{'exchange': 'MCX', 'start_time': 1744284600000, 'end_time': 1744308000000}, {'exchange': 'NSCOM', 'start_time': 1744284600000, 'end_time': 1744308000000}]"
2025-04-12,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-04-13,Weekend,WEEKEND,"['NSE', 'BSE']",[]
