,Close,OBV
0,1267.6,0
1,1260.75,-13620611
2,2741.45,-2529941
3,2794.7,5980463
4,2749.2,-1174842
5,2742.1,-12354165
6,2744.2,-8364104
7,2745.05,-2253388
8,2688.05,-19134785
9,2708.15,-9117566
10,2712.85,-1345736
11,2718.6,4695490
12,2738.4,11729194
13,2686.7,3813214
14,2677.05,-4794157
15,2679.6,6283810
16,2655.7,-3014938
17,1334.35,-13839288
18,1340.0,-1830927
19,1343.9,10153496
20,1332.05,821846
21,1338.65,2949181
22,1302.15,-16847709
23,1305.3,-580230
24,1325.35,21044979
25,1305.65,11433005
26,1283.75,-8381401
27,1272.7,-17437953
28,1274.25,-6766862
29,1252.05,-21400495
30,1267.6,-8787862
31,3025.2,-4379805
32,3000.9,-7505383
33,2996.6,-12310526
34,3041.85,6857153
35,3019.25,-13953212
36,3032.5,-8332786
37,3018.25,-13794686
38,3029.1,-7803034
39,2985.95,-15935118
40,2929.65,-25632232
41,2924.9,-30137381
42,2923.05,-35521511
43,2903.0,-40401612
44,2959.6,-29226924
45,2945.25,-33582588
46,2942.7,-36323475
47,2944.6,-33355811
48,2926.9,-37643168
49,2939.35,-29165217
50,2971.85,-13716557
51,2986.75,-9300400
52,2978.75,-17869122
53,2987.9,-14334621
54,2995.9,-4925122
55,3052.35,5373617
56,2953.15,-8130790
57,2929.65,-16346611
58,2813.95,-35225258
59,2773.05,-53761696
60,3173.35,-47612509
61,3110.3,-54182704
62,3001.35,-64019892
63,2975.8,-73045914
64,2991.4,-67089233
65,2984.8,-73349171
66,3018.05,-68419201
67,3040.2,-64649926
68,3026.3,-68764030
69,3010.85,-73792703
70,3030.6,-68410592
71,2998.65,-73544716
72,2894.65,-82068068
73,2912.1,-76949975
74,2929.65,-72862691
75,2898.25,-79056287
76,2948.6,-75931399
77,2921.25,-80023691
78,2927.25,-76891159
79,2923.7,-80024892
80,2956.4,-75316441
81,2976.8,-68417570
82,2991.9,-64211666
83,2997.35,-60326668
84,2996.25,-65549559
85,2999.95,-60924732
86,3025.2,-56516675
87,2939.9,-65796023
88,2942.8,-61170143
89,2913.35,-67057594
90,2926.65,-62016723
91,2930.5,-57426143
92,2955.1,-53347144
93,2962.05,-49748761
94,2917.3,-54111698
95,2947.4,-46054810
96,2908.4,-61639990
97,2882.95,-66079183
98,2908.3,-62556490
99,3028.05,-51549049
100,3061.1,-37357534
101,3130.8,-22878866
102,3120.3,-26741019
103,3130.35,-22866396
104,3104.85,-27391206
105,3108.05,-23972618
106,3177.25,-17837763
107,3201.8,-13087360
108,3180.55,-16567361
109,3168.45,-20134650
110,3161.3,-26105123
111,3193.45,-19642731
112,3194.45,-16977887
113,3152.5,-21671306
114,2930.05,-25295293
115,2934.0,-19558162
116,2933.1,-26814485
117,2868.0,-35427964
118,2839.05,-39125068
119,2802.95,-46383804
120,2837.1,-41664303
121,2788.25,-47169109
122,2814.85,-41916561
123,2805.4,-46144871
124,2840.15,-42550721
125,2832.55,-45073988
126,2850.7,-37718101
127,2871.4,-32259863
128,2869.65,-32472883
129,2872.25,-26884819
130,2921.3,-21744017
131,2972.1,-14439887
132,2960.5,-17987275
133,2932.5,-21301780
134,2912.4,-25211861
135,2881.55,-28903639
136,2849.7,-35507068
137,2860.8,-19972152
138,3020.65,-9208181
139,2794.55,-27562730
140,2841.5,-18830285
141,2863.2,-9902424
142,2939.9,-623076
143,2850.5,-4760958
144,2887.5,-516555
145,2901.95,5986913
146,2910.05,15750717
147,2883.15,10042764
148,2985.7,18206086
149,2971.7,7278904
150,2969.55,4771964
151,2973.9,9227047
152,2943.2,5722901
153,2925.85,-1522235
154,2920.2,-5243384
155,2971.95,-1064825
156,2927.3,-4600532
157,2959.15,-31367
158,2934.3,-7806873
159,2929.65,-14257904
160,2931.5,-9574812
161,2928.65,-19077658
162,2940.25,-11206769
163,2959.7,-6031588
164,2918.65,-13334365
165,2900.35,-18565753
166,2919.95,-10593790
167,2905.1,-15300714
168,2900.25,-22648031
169,2921.5,-16369632
170,2904.7,-19706847
171,2930.2,-15849050
172,2962.75,-12290106
173,2941.2,-17293497
174,2921.15,-22177246
175,2948.0,-18812332
176,2942.05,-22371080
177,2935.4,-28731226
178,2963.5,-19484362
179,2987.25,-12265070
180,2974.65,-16021623
181,2971.3,-21434645
182,2911.25,-25758620
183,2921.6,-13944132
184,2984.25,-7877669
185,2982.15,-8235819
186,3014.8,-3223609
187,3000.4,-6777443
188,3006.0,-2874605
189,2957.85,-7032468
190,2933.2,-12671033
191,2950.85,-7954694
192,2864.35,-14715761
193,2862.95,-24001312
194,2836.45,-33613221
195,2878.95,-29028525
196,2850.5,-33166407
197,2590.25,-35181677
198,2611.7,-31457277
199,2583.3,-35976045
200,2596.65,-31169656
201,2607.7,-27126453
202,2587.35,-30993779
203,2580.5,-33695316
204,2650.1,-28143946
205,2719.8,-16281020
206,2741.45,-8774938
207,2788.25,-4469641
208,2749.25,-9004153
209,2723.15,-15102844
210,2735.9,-9963125
211,2734.9,-15174477
212,2713.3,-18816174
213,2657.15,-28843884
214,2687.75,-17884320
215,2706.15,-11979884
216,2896.1,-33165
217,2815.25,-7080154
218,2853.25,484959
219,2853.3,7159640
220,2915.4,16985934
221,2878.05,12578718
222,2855.6,8054726
223,2884.3,12703010
224,2900.25,20050327
225,2349.35,17805234
226,2378.9,21912459
227,2388.2,26179866
228,2395.5,30445637
229,2393.9,27070894
230,2394.4,33966981
231,2400.7,40232634
232,2377.45,26012642
233,2394.3,33184063
234,2420.2,40979558
235,2437.75,47326370
236,2461.1,55537591
237,2457.05,51466543
238,2455.75,46364096
239,2459.35,49897165
240,2424.05,45298603
241,2433.95,50314194
242,2464.15,58800371
243,2495.6,66766447
244,2521.0,73849041
245,2558.1,82259343
246,2527.15,73390982
247,2562.55,80273709
248,2565.05,88544601
249,2578.05,92277433
250,2586.85,96879511
251,2605.55,103030829
252,2584.95,97598537
